Identifier,Title
ea4b1101-3538-4f59-a8a5-821d5a94291b,Perimeter Wasserversorgung Rothenburg Korporation
899672b1-6813-4ebe-b996-41caacaa5bfa,Amtliche Vermessung - Informationsebene Gebäudeadressen
dbe0b3ed-83cd-46c7-9065-cccdba7901ec,"Geodatenmodell ""InstallationsElectriquesTensionNominaleSuperieureA36kV_V1"""
658fe223-9011-4231-9865-0c12f030aaa6,"Geodatenmodell ""Steinbockkolonien_LV95_V1"""
f811dd61-4fed-4bf9-bd97-0500aa6d2a99,"Geodatenmodell ""NonVectorData_Geotechnics_V1_1"""
94DE9815-2017-441D-84C6-E7145ED9413D,Plan directeur cantonal des forêts - Vocations forestières
cd67423a-f308-4f03-9870-dc472bc3edb0,"Geodatenmodell ""Nutzungsplanung_V1_2"""
1d550c32-aaf6-43e0-bfed-253b15335fd9,"Geodatenmodell ""ZoneDiPianificazione_MN95_V1"""
dacfbf71-3d65-4c65-96b0-1e4366dea6dd,RDP Baulinien Schongau
27b6ce38-ea9d-4a18-b419-865a332cd2f4,Laichplätze Bachforellen 2021
c72f6286-1222-4a4f-901b-61b71c04be61,"Geodatenmodell ""SectoralPlanForRoadInfrastructure_LV95_V1_4"""
c184e7d7-567c-48c1-8ed3-6a21c8ceb16f,Teilrichtplan Fuss- und Wanderwege
7151c7a3-7533-401e-bc75-cebbe5e394ee,Trends von Ozon in der Südschweiz
eb2085eb-4a89-4ec8-84df-650db7c34265,Plan de la Ville de Fribourg de 1974 (BCU)
11c39d20-ba67-4d3b-8670-3b13efc56dba,Gemeindegrün Ausstattung Gemeinde Köniz
e41d7b59-36c2-43cf-82d8-1da0b9e2a936,RDP Zonenplan Kriens
0c35acf9-83fd-4eb7-acfb-4ee0a18bc11a,Excursions à vélo pour écoles
0d36faaf-612a-419b-b81f-8f965f52783e,"Geodatenmodell ""SectoralPlanForMilitaryInfrastructure_LV03_V1_4"""
664b375f-ed77-4a2d-9914-7fd500889f3a,RDP Baulinien Adligenswil
0cee389a-cd46-43ac-8bc1-927cd262698f,"Geodatenmodell ""NoisePollutionRegisterForNationalRoads_LV03_V1"""
25fdcf12-164c-4ab2-b89a-856dba132909,Kommunaler Nutzungsplan (Gemeinde Liedertswil)
5152e280-4398-48a2-94e8-807bc0aabc1d,Geomorphologie
20f35b67-b2b1-4682-88c0-acbeba1ddc76,"Geodatenmodell ""kt_Amphibien_Laichgebiete_LV03_V1_1"""
56bd4bb9-bf62-4341-880a-2ddb97c4678f,"Geodatenmodell ""PlansDAffectation_MN95_V1_1"""
cef9a4f3-0d3a-4a94-874d-60e4792b80f2,Localités avec présence d'un chauffage à distance
9bdf43f5-1a26-4bb2-946c-b38971f0e7c3,"Geodatenmodell ""Wildruhezonen_Codelisten_V2_1"""
155c8398-83f5-4a3e-8a3e-1873339fe164,Wanderwege
6bf9d88b-fb1c-484a-af93-83cf99f90d09,"Geodatenmodell ""Biotoppunkte_V1"""
0c794775-ef01-47ab-96fc-fe963400ba4e,swisstopo swissALTI3D 2010 Fribourg
253c13d0-f739-4b29-9872-e857ee3ed226,"Geodatenmodell ""TWVinMangellagen_V2_0"""
33f785bd-0b30-4ca3-8aa4-32bb665ad02b,"Geodatenmodell ""Radondatenbank_V1"""
39a60f70-c1c1-43af-b51a-6ec1158d3fe0,Leitungskataster Strom Gemeinde Gebenstorf AG
d66f6e3c-fa47-4a97-9320-75bd911bfeaf,"Geodatenmodell ""LFI_Vegetationshoehenmodell_LV03_V1"""
13d79968-c8d5-4691-9d18-d3c130d11355,"Geodatenmodell ""BuildingLinesPowerInstallations_V1"""
d4929d62-5843-4dc2-b249-15344d79cce1,"Geodatenmodell ""ERKAS_Rohrleitungsanlagen_LV03_V1"""
829b5d06-bfc1-4415-8e8a-a59c7e7479a1,Energieträgermix Wärme
7ff3d772-d48e-48c0-8fba-f7c638a95c69,RDP Bebauungspläne Rothenburg IKEA
9701ef86-97f6-40d1-a244-3a8c2cd43025,"Geodatenmodell ""ERKAS_Strassen_Karte_V2_0"""
aa69c41c-df27-4020-b634-f7a5a067eeb0,"Geodatenmodell ""UNESCO_WNE_V1"""
a412514c-614f-4517-a83e-2943fd7bfad2,"Geodatenmodell ""Fliessgewaessertypisierung_LV03_V1"""
e4e8cdb5-7d90-42f3-b64e-e4626c2ec001,"Geodatenmodell ""Paerke_LV95_V1_1"""
766b8a17-cbe8-4ec1-ad0f-02274c44dd3e,Limites statiques de la forêt
936fa974-15f1-42ff-b39f-5ad349637ccd,"Geodatenmodell ""Amphibien_Laichgebiete_V1"""
067c3fb5-a2f9-4741-8f84-89bf5fd5e562,"Geodatenmodell ""SIA405_LKMap"""
aeea641c-0298-4d6d-a88f-f1adf9f624ba,Makrozoobenthos
fff01edb-a19e-4937-9edf-efb4a11283e0,"Geodatenmodell ""Auengebiete_V1"""
1d3b8b6d-f75a-46bf-823f-8fe69a1a32a6,"Geodatenmodell ""Moorlandschaften_LV95_V1_1"""
adb64462-9a34-4601-820d-311217143c89,Statische Waldgrenzen (Gemeinde Nusshof)
e5af481d-a5fe-47b1-be62-6b3d479d20de,AT210 - Bandes d'implantation
f5a494d0-a666-4d1c-b7f9-b7e8ce5ebe28,Données de recherche de la Centrale sanitaire 144 FR-JU
52f6796b-c00f-4ed9-9455-033776b3868a,Densité énergétique future (hectare) - Ville de Fribourg
e48e6cfa-5cec-4cfc-a7a2-52b532ebcc15,Die Ozonbelastung im Sopraceneri und im Misox im Sommer 1998
ea421613-81fa-4da7-b78d-e50bab5548ca,"Geodatenmodell ""ErgebnisseBodenbelastung_Punktdaten_V1_1"""
0a154670-eb9b-4663-9f3b-6aeece7293ce,"Geodatenmodell ""FPDatenservice_DM"""
b704dc16-5f9b-401b-abe7-4d725c6e085f,"Geodatenmodell ""ErgebnisseBodenbelastung_Punktdaten_Codelisten_V1"""
a8f6be4e-e957-4d5c-83e2-1764a2ca02b6,"Geodatenmodell ""Fruchtfolgeflaechen_LV03_V1"""
438ec183-d9b6-4ce6-8ee7-68d46536c300,"Geodatenmodell ""Elemente_mit_Landschaftsqualitaet_LV95_V1_3"""
a82ef27b-0d2f-4fb2-b84c-4332dc0ff24b,"Geodatenmodell ""Elemente_mit_Landschaftsqualitaet_V1_3"""
35e2ca09-f9b5-4521-be2e-0a4cd43d393f,"Geodatenmodell ""LineeDiDistanzaDallaForesta_MN95_V1_1"""
70dbbf8a-e17e-4e55-b4cb-6eaeca329d7a,"Geodatenmodell ""LWF_FORSCHUNGSPROGRAMM_LV95_V1"""
d6fcc669-c58d-4f82-9540-4909dcdb8ca5,"Geodatenmodell ""Gewaesserraum_LV03_V1"""
3735a273-474a-4956-b981-dc25c9cbb245,"Geodatenmodell ""Bodeneignungskarte_V1_2"""
ebc82eed-4cb5-49fa-bb5d-915bbd0755d0,"Geodatenmodell ""BuildingLinesForMotorways_LV03_V2_1"""
8d43c256-f652-4e06-bc9d-a01d5e1ec207,"Geodatenmodell ""Biotopflaechen_V1"""
97c77dd7-a37f-42e4-a9f8-b5102562efff,"Geodatenmodell ""Axis_LV95_V1_1"""
cf635e30-6fe8-4ad2-9c7d-b173fb5a6605,"Geodatenmodell ""Biotoplinien_V1"""
2fa6a7c2-5fb3-4a15-a473-f15c2f1c12bd,"Geodatenmodell ""Biotoplinien_V1_1"""
bb90bbb6-0fe1-4037-b9e5-30c479a85725,"Geodatenmodell ""Auengebiete_LV95_V1_1"""
30d8db26-326a-4c33-9a2f-1187a2e84011,"Geodatenmodell ""Bewirtschaftungseinheit_V1_3"""
b8375f68-6c15-48d4-a106-fc85f40770b4,"Geodatenmodell ""BLN_LV95_V1_1"""
24ada514-9781-47e2-b775-b55ac4a15f4e,"Geodatenmodell ""Gewaesserraum_V1_1"""
9268ab23-7664-4aff-8c19-ca639168e838,"Geodatenmodell ""Grundwasservorkommen_LV03_V1"""
d88cbc15-8201-4225-9479-0aa761317ce9,"Geodatenmodell ""Grundwasser_Quantitaet_LV95_V1"""
0bc5786a-6bb3-4bd1-90d2-f49bed32a697,"Geodatenmodell ""GradiDiSensibilitaAlRumore_MN95_V1_1"""
60ceb10a-0786-4ac5-9dd3-248265828624,"Geodatenmodell ""NPALCH1MN03F"""
04fd22a3-eceb-45c5-ae74-c87f80836210,"Geodatenmodell ""MD01MOCH24MN95F"""
3222e41d-81e6-4001-a2aa-3ded043cca17,"Geodatenmodell ""Moorlandschaften_V1_2"""
d4026326-507d-4aa1-b877-15e49381d3a9,"Geodatenmodell ""Moorlandschaften_V1"""
9b63293e-8e86-48ce-9fa4-149a6327a2b9,"Geodatenmodell ""PianiDiUtilizzazione_MN03_V1_1"""
22b3c674-6949-43bb-b3ab-0e173365e36c,"Geodatenmodell ""PianiDiUtilizzazione_MN95_V1_1"""
405ba4fe-3e69-4299-8a58-c0e4c0d187b3,"Geodatenmodell ""PRTR_LV03_V1"""
4a7ae306-f0df-4af1-9422-ee87f3f632df,"Geodatenmodell ""PBC_Cantoni_V1"""
3824b17e-9889-4fd8-bfaa-b1fd9d211c8a,"Geodatenmodell ""Paerke_LV03_V1_1"""
9848a52f-f1fd-49e1-b52d-7230f845210b,"Geodatenmodell ""Paerke_LV03_V1_2"""
af25bc4c-b421-42f0-a679-2100d5abcb64,"Geodatenmodell ""Schutzbauten_LV03_V1"""
fe5a944a-e9d3-4a62-8ba6-823ce1211f1b,"Geodatenmodell ""AeronauticalCharts_V1"""
120783d0-3a63-4223-bbe8-f7b146aa433b,"Geodatenmodell ""Auengebiete_Codelisten_V1_1"""
9ad96581-5272-4948-a441-ef6a07f537fb,"Geodatenmodell ""Amphibien_Laichgebiete_LV03_V1_1"""
05131275-8eae-4eae-af1e-bd01605e3fc1,"Geodatenmodell ""ArretsTP_MN03_V1_3"""
8205c6a4-1e26-421e-b232-ba01c46292b2,"Geodatenmodell ""Abfallanlagen_MatEntnahmestellen_LV95_V1_1"""
9e6c8568-34e4-4cc0-b14b-64bea5f9037b,"Geodatenmodell ""DistancesParRapportALaForet_MN95_V1_1"""
fbc18335-3208-4c22-9962-b4772bb6dbea,"Geodatenmodell ""ERKAS_Bahnen_LV03_V1_1"""
843d28f7-4a3e-4812-b23e-3405f5ce81e0,"Geodatenmodell ""ERKAS_Rohrleitungsanlagen_LV95_V1"""
8fea7a33-e2c0-4920-ac4d-d3bfc7ea0007,"Geodatenmodell ""ERKAS_Strassen_Kataster_V2_0"""
fa33c9a6-7b57-44d8-9eda-f37fce5195f6,"Geodatenmodell ""ERKAS_Betrieb_V1"""
3a261eb7-b493-4b7c-80d0-8e16f00ce72d,"Geodatenmodell ""EZGG_LV03_V1"""
0614619f-ae1b-4da7-9671-3e1534816960,"Geodatenmodell ""KantonaleLuftMessStationen_LV03_V1_1"""
4c5246c4-9978-486c-a696-21df8d83ef1a,"Geodatenmodell ""LBK_Haupt_uebrigeStrassen_LV95_V1_1"""
6ffe3707-5606-405b-bd01-816dae3aaf93,"Geodatenmodell ""LFI_Biotopwert_V1"""
91d4f04a-b193-4192-88a0-3befac9da24b,"Geodatenmodell ""LFI_Vegetationshoehenmodell_Relief_LV03_V1"""
b6ca9201-202a-4c03-bf07-7401172f0895,"Geodatenmodell ""LFI_Wirtschaftsregion_V1"""
37fa0bfd-be76-4fe4-88ea-e23455bfad1e,"Geodatenmodell ""OfficialIndexOfAddresses_V1"""
c2be5b4d-e02b-45ad-a6f7-12bf1707ad7d,"Geodatenmodell ""NonVectorData_Geology_V1_1"""
d0aa2659-0111-4c87-82ba-ee14193584de,"Geodatenmodell ""Nutzungsplanung_Hauptnutzung_V1_1"""
9f0d8a81-9345-49b3-b757-b29664a3a84a,"Geodatenmodell ""NoisePollutionRegisterForRailwayInfrastructure_LV95_V1_1"""
f0740983-ff51-4130-aef2-65ea96cc7e5f,"Geodatenmodell ""NoisePollutionRegisterForRailwayInfrastructure_LV95_V1_3"""
d7aa1dd4-d22b-4405-a555-cc757a24bfbf,"Geodatenmodell ""SafetyZonePlan_Catalogues_V1_2"""
0d1e934e-3382-4692-9432-bc414a52e047,"Geodatenmodell ""Revitalisierung_Seen_V1_2"""
0c701b34-62cd-4a8a-a9ab-36fa0c16acc8,"Geodatenmodell ""Revitalisierung_Seen_LV03_V1"""
09ad8f14-3cf4-4152-8995-7f9d873264b5,"Geodatenmodell ""RoadTrafficCensusCatalogues_V1"""
88437933-13aa-4d01-bc5d-dcd38a84b77c,"Geodatenmodell ""SIA405_LKMap_f"""
24aba31d-8d4e-4c83-8685-e6316a66dffd,"Geodatenmodell ""VECTOR200_PASS_V04_04"""
9294c690-7f9b-4e0b-9a2d-4959a14901db,"Geodatenmodell ""Trockenwiesen_LV95_V1"""
17fea56f-a7fc-40df-b83e-8f02f23157f9,"Geodatenmodell ""TWVinNotlagen_LV03_V1"""
25ad937d-6301-4270-8c32-65bcfbb0cc40,"Geodatenmodell ""WZVV_Codelisten_V1_2"""
367fb8ce-103b-4ae3-8f31-b32ad2efdb6d,"Geodatenmodell ""Waldgrenzen_V1_2"""
8677695c-f6d3-401a-829a-61604afd2df9,"Geodatenmodell ""Waldreservate_Codelisten_V1_1"""
bbdb0982-966d-43ab-b1c1-579aadcd0065,"Geodatenmodell ""Wasserisotope_LV03_V1"""
f9b781d4-4f85-43f7-8584-de81ec48da8a,"Geodatenmodell ""DamsUnderSupervisionByFederalGovernment_V2_1"""
69b957ac-83fa-4043-bb7f-731aef21d01d,"Geodatenmodell ""BuildingLinesForMotorways_V2_2"""
a4299e37-8f3d-42f1-ad62-1521f113e40d,"Geodatenmodell ""KGS_PBC_LV95_V2"""
a4d87fac-6588-431c-99fd-a82752bde475,"Geodatenmodell ""Kant_Hydrologische_Messnetze_Codelisten_V1"""
5d9c7a02-c214-4801-abdc-49abdc208a91,"Geodatenmodell ""Jagdbanngebiete_LV95_V2"""
2f252b42-c6a0-40d2-a938-e91fe689b607,"Geodatenmodell ""Kant_Hydrologische_Messnetze_LV95_V1"""
b647a102-c520-4023-a8ef-e8aac5a302a4,"Geodatenmodell ""LFI_Raeumungszustand_V1"""
715fce42-d591-4899-aeae-25f32cda6800,"Geodatenmodell ""LFI_Naherholung_V1_1"""
821d43ae-3130-4c1a-8e27-d88f1f351058,"Geodatenmodell ""LFI_Raeumungszustand_V1_1"""
c6bc2c21-0eb3-4d07-8046-4315121abba9,"Geodatenmodell ""LFI_Nadelholzanteil_V1"""
25e91f88-6221-4e3d-b489-b170be389519,"Geodatenmodell ""NoisePollutionRegisterForMilitaryShootingRanges_LV03_V1"""
3d655290-dc8c-40ac-8f06-76e329cc962f,"Geodatenmodell ""NoisePollutionRegisterForRailwayInfrastructure_LV95_V1"""
0688aa9a-ff8e-49d8-8e0c-64cd24ea5eaf,"Geodatenmodell ""NoisePollutionRegisterForAerodromes_LV95_V1_1"""
bdaa7a04-2c2d-43e0-877c-d43f53b348ff,"Geodatenmodell ""PipelinesystemUnderSupervisionByFederalGovernment_V1"""
f0dd4cc2-4348-4d29-b8df-9d6510002a8c,"Geodatenmodell ""PianiDiUtilizzazione_V1_2"""
7ab1349a-b6fb-4050-9645-6ff85ca9fa30,"Geodatenmodell ""Querprofile_Flussvermessung_V1"""
856bf4eb-d605-44fc-ae6e-cb54e011ae64,"Geodatenmodell ""ReservedZonesForAirportInstallations_Catalogues_V2_3"""
6751b922-95e9-46e4-9efe-ebed136df3bf,"Geodatenmodell ""RestrictionsNavigationInterieure_MN03_V1"""
e68802bc-fbe2-44a4-9c6d-873883daa328,"Geodatenmodell ""Rebbaukataster_LV95_V1_2"""
6eed316e-c701-404c-8071-96a2cc456d61,"Geodatenmodell ""Rebbaukataster_V1_2"""
ba923890-c21b-48ac-89be-04c14f6f61c5,"Geodatenmodell ""Register_Ursprungsbezeichnungen_V1"""
15ddfe36-ce75-4711-acf3-b56a2ba34f93,"Geodatenmodell ""ReseauFerre_MN03_V1_3"""
69c2da2b-70f6-4d22-86ab-d518fcd13ce9,"Geodatenmodell ""Revitalisierung_Fliessgewaesser_V1_1"""
ee7c4902-8f11-48ce-97fc-7c88d01f4202,"Geodatenmodell ""SectoralPlanForNavigationInfrastructure_LV03_V1_4"""
f8548041-1023-48e9-897f-238bdef1af5c,"Geodatenmodell ""SuperficiPerLAvvicendamentoDelleColture_MN95_V1"""
a3a14448-2a8a-4d45-ad5b-bbd1811b56af,"Geodatenmodell ""Siegfriedkarten_V1_1"""
51add272-ad67-428e-ab47-c28fac0b2cdd,"Geodatenmodell ""SolarAndWindEnergyProjects_V1"""
d4f3c54f-b191-4eab-97c8-b7f2f44ff461,"Geodatenmodell ""Seilbahnen_LV03_V1_2"""
30b6a89d-a4dd-4710-bdbe-1de8040e24c2,"Geodatenmodell ""Wildruhezonen_LV95_V2_1"""
658210e9-f2c0-4cd2-b9b0-a77dec25d71a,"Geodatenmodell ""Zones_for_Emergency_Planning_V1"""
cba34b65-b7ee-4b76-adac-8aaaa4a5242b,"Geodatenmodell ""hpm_network_V1"""
74857b6f-e260-4833-8a16-a0ee708318d5,"Geodatenmodell ""Zones_reservees_MN95_V1"""
02ff4550-370c-4a5c-a7d8-89a3665fd6e4,"Geodatenmodell ""kt_Trockenwiesen_LV03_V1"""
064eeb83-5e01-4784-8ca0-0125e10f240d,"Geodatenmodell ""kt_Hochmoore_V1_1"""
6293e5a0-0fae-4a50-aa04-8de2e6422dd2,"Geodatenmodell ""swissBOUNDARIES3D_ili2_LV95_V1_5"""
9df5a0a4-84c4-4d96-a953-44111638da10,"Geodatenmodell ""swissTLMRegio_LV95_V5"""
17458913-146f-47b5-b88e-53e8cfbc734e,"Geodatenmodell ""swissTLMRegio_ili2_LV95_V2"""
87995291-83d8-4da6-a0ca-f6f31591c618,"Geodatenmodell ""swissBOUNDARIES3D_ili2_LV95_V1_3"""
27983125-d401-4f82-a23a-865859108c28,"Geodatenmodell ""kt_Amphibien_Wanderobjekte_V1"""
f09b2954-c64f-41ce-a8d9-159fa84711ff,"Geodatenmodell ""swissTLM3D_ili2_LV95_V1_6"""
afbfb834-1716-47fb-a0e4-367a72782ef5,"Geodatenmodell ""swissTLM3D_ili2_LV03_V1_8"""
92238a95-69cc-4c14-91e9-c0c107baa3d2,"Geodatenmodell ""swissTLM3D_ili2_LV95_V1_5"""
2ef5e6f6-373c-45e1-b3f7-0141557d8e4e,Kommunaler Nutzungsplan (Gemeinde Zunzgen)
76fda127-abb6-41e6-9003-d98405052681,Leitungskataster Gas Gemeinde Köniz
6fd7fad0-c4f3-428d-86a0-3ab2db0a58f3,Carte connectivité - Surface végétales en Ville de Fribourg 2022
e514fba3-999e-493b-82f1-ec23fab7fd15,"Modelldokumentation ""Baulinien Nationalstrassen"""
1f9bbb42-5937-44cf-aef9-4f83d80717a3,RDP Zonenplan Ettiswil
739f180b-57e1-4ba2-9436-219e6b959f3d,Web access elevation service - Höhe
9d8d0092-958f-48a3-9676-19eb1dec4a74,Winterdienstrouten Gemeinde Köniz
1528fe7e-14f6-4c1c-8279-c2ff2b6298f8,"Geodatenmodell ""Planungszonen_LV95_V1"""
76159eb2-0e6d-4d98-9452-236ae0ccd388,Orthofoto 2016 Gemeinde Köniz
b9099205-2e51-4006-8a2b-34c55d44cb94,Plan de la Ville de Fribourg de 1988 (BCU)
9d28c827-1984-4799-b83e-6cd59ec43d81,Projektbegleitungen Verkehrstechnik
28ef4c72-2b2e-4650-b1d6-198f71ece1d1,Perimeter Neuvermessung Gemeinde Köniz
7d24ec9a-2eef-4f38-863a-8e624b3df7ae,Perimeter Wasserversorgung Knutwil (Teil in Sursee)
009a3edf-bef6-4f7b-a6a6-dfeb5acadf1f,RDP Bebauungspläne Emmen Shopping-Center
e07078b5-107d-4c88-875e-9d53ccb8a6d5,SBAS-Auswertung von SAR SENTINEL-1 Daten im Zeitraum 2014-2019 im Orbit 88
8fe86ce2-ad2b-4dd1-abe8-bbd82601edec,RDP Zonenplan Zell (LU)
0c8682c6-c594-451a-a308-b4adad4f3cf7,"Geodatenmodell ""SOLID_V1"""
a6f82350-d08a-4d11-8076-8c9644e595c2,"Geodatenmodell ""LFI_Kanton_V1"""
ed753373-eb17-4432-904f-21dd1d981255,"Geodatenmodell ""LFI_Schutzwaldregion_V1"""
fec45bbe-7d2c-4064-ae29-00c6a3f60508,"Geodatenmodell ""Naturereigniskataster_umfassend_V1"""
25a48774-7a35-4668-b517-eb19317eef7f,Statische Waldgrenzen (Gemeinde Waldenburg)
c51cd7c8-abbe-4bf0-81bc-edcdec8f1763,Verzeichnis der Verdachtsstandorte
3e0ea555-1912-46d4-ba35-4db02a963082,Zones de délestage liées à une pénurie d'énergie électrique
280d889c-9269-48eb-9908-fd98ea39d648,geodienste.ch WMS Planung der Revitalisierungen von Fliessgewässern
56335857-9393-42d8-83a2-d7f80133fefe,geodienste.ch WMS Landw. Bewirtschaftung: Perimeter LN- und Sömmerungsflächen
c48d6979-b350-4a1b-89e1-cd6b0da00145,Zukunftsszenarien der Stickoxidbelastung im Misox für das Jahr 2015
2722ae2e-e625-4a17-bf9b-975d90ec65ce,"Luftbelastung während der Umleitung Gotthard, 1999"
7e20beb5-784c-4d35-aabe-2e7621962ae0,Lärmempfindlichkeitsstufen (in Nutzungszonen) (Gemeinde Diegten)
9234033a-7be0-4422-ac3f-9c5ae086a494,NO2-Passivsammler
72380f89-ac79-45f7-a34f-9d7d7186ed13,"Geodatenmodell ""ZoneDiPianificazione_V1_1"""
bf18102f-66c5-4482-97cf-7bb573c32940,Surface non-construite en zone à bâtir
c593d439-4e24-443f-800a-c917e864fdb9,"Geodatenmodell ""Nutzungsflaechen_V1_4"""
e81bdbea-6891-4d43-9bf7-f85cd994d08f,"Geodatenmodell ""Revitalisierung_Seen_LV95_V1"""
730426f9-3190-4295-8704-515d086a1e00,"Geodatenmodell ""LFI_Produktionsregion_V1"""
9fe23b7c-419e-4050-8932-15558e8ec49e,Pilzflora Zentralschweiz
05bb8c26-225e-4764-bf6a-f5049929b02a,"Geodatenmodell ""LimitesDeLaForet_MN95_V1_1"""
36a3bb63-9194-40f4-a187-a28e3dc8a0c9,"Geodatenmodell ""PLZOCH1LV03D"""
af227117-ec96-41dd-a003-f4dc2aff06cd,"Geodatenmodell ""Wildruhezonen_Codelisten_V2"""
4743EB21-6B29-49D3-A7DC-F44A3E17E80A,Recensement des parcs et jardins historiques
0ef24e7b-5e86-4d48-9a19-badbebc1619e,"Geodatenmodell ""NoisePollutionRegisterForRailwayInfrastructure_LV03_V1"""
d8f79612-289b-4610-9120-74b63889bf84,"Geodatenmodell ""UNESCO_WNE_LV03_V1_1"""
96983e48-4139-4b68-9ad4-93116e95d65d,"Geodatenmodell ""DegreDeSensibiliteAuBruit_MN03_V1_1"""
eef63788-11fd-4182-8270-c84114491940,Wärmenachfragedichte 2035 (heutiger Bestand)
41160666-2d37-4820-92b5-651a0d560bf4,"Geodatenmodell ""NabelStationen_Codelisten_V1_1"""
48dba558-a340-4d49-b7b7-7790c1f61583,"Geodatenmodell ""PianiDiUtilizzazione_UtilizzazionePrincipale_V1_1"""
1d61c5e1-eb6c-483e-8f1d-bbb17c99f930,SBAS-Auswertung von SAR SENTINEL-1 Daten im Zeitraum 2014-2018
e7156adc-7349-4017-bf77-7d71257ec7d3,sites des peupliers noirs potentiels
b7733f8b-1cb1-41c5-855b-c39b9bf3556c,"Geodatenmodell ""RoadTrafficCensus_V1_1"""
554382e5-0851-4ef3-be61-e2d962a3df6d,"Geodatenmodell ""LFI_Vorrangfunktion_V1_1"""
f03358ca-b7fe-4262-8a0d-5a22fa744335,"Geodatenmodell ""BLN_LV03_V1_1"""
5153c501-bce4-48f7-836d-ed26226502a4,"Geodatenmodell ""swissTLM3D_ili1_LV95_V1_8"""
fdce07c9-f38d-4166-84df-731a7a7af827,"Geodatenmodell ""Axis_LV03_V1_1"""
acaca5a4-f8fb-4700-83d5-1c67d6566393,"Geodatenmodell ""FloodMapsForDamsUnderSupervisionByFederalGovernment_V1"""
aa048f6a-2358-4487-a0ff-2cb62cb89540,"Geodatenmodell ""ImpiantiElettriciTensioneNominaleSuperiore36kV_V1"""
523cdef2-f1f5-4535-81ec-0c93d6af5e25,"Geodatenmodell ""LWB_Perimeter_Terrassenreben_V2_0"""
30c48b12-7035-45f3-89ce-563970003493,"Geodatenmodell ""Wasserisotope_LV95_V1"""
165354ad-a0bc-40b3-b513-a6038bae2dfa,Naturschutz kommunal
b7a8a354-3923-4028-9d3c-e40d9fbe8cb5,Limitation de vitesse
78351cfe-c2ae-43b0-956b-3b8b51181ce8,"Geodatenmodell ""LWB_Biodiversitaetsfoerderflaechen_Qualitaet_II_und_Vernetzung_V2_0"""
1f35b4d8-e70e-4d26-9a1c-91c0b56aaf95,"Geodatenmodell ""NoisePollutionRegisterForNationalRoads_V1_1"""
d1216d6d-5b4d-41c8-bee5-295c741645f2,"Geodatenmodell ""Luftbelastungskarten_LV95_V1"""
084f73ac-5b93-4e78-8fc0-7952856421c7,"Geodatenmodell ""Perimeter_Terrassenreben_V1_3"""
8a20e7ac-284e-46e6-b0b4-6bd7862a8fd3,"Geodatenmodell ""DM_GA25_Profiles_V1"""
698fabfc-3ab9-40cc-9d53-1606a6853032,"Geodatenmodell ""Paerke_LV95_V1_2"""
