text,correct_location,re_matched_labels,spacy_custom_LOC_labels,spacy_base_LOC_labels,bert_ner_labels,all_words
"Die Stadt Eggried ist ein kulturelles Zentrum, bekannt für ihre Theater- und Musikszene sowie ihre Kunstgalerien.",['Stadt Eggried'],['not_found'],['Stadt Eggried'],['Eggried'],['Eggried'],"['Die', 'Stadt', 'Eggried', 'ist', 'ein', 'kulturelles', 'Zentrum', 'bekannt', 'für', 'ihre', 'Theater', 'und', 'Musikszene', 'sowie', 'ihre', 'Kunstgalerien']"
Die Gemeinde Windau setzt sich aktiv für den Erhalt der lokalen Flora und Fauna ein und pflegt zahlreiche Wander- und Radwege.,['Gemeinde Windau'],['not_found'],['Gemeinde Windau'],"['Gemeinde', 'Windau']","['Gemeinde Windau', 'lokalen Flora und Fauna']","['Die', 'Gemeinde', 'Windau', 'setzt', 'sich', 'aktiv', 'für', 'den', 'Erhalt', 'der', 'lokalen', 'Flora', 'und', 'Fauna', 'ein', 'und', 'pflegt', 'zahlreiche', 'Wander', 'und', 'Radwege']"
Die Stadt Krähenstadt hat sich in den letzten Jahren zu einem wichtigen Handels- und Technologiezentrum entwickelt.,['Stadt Krähenstadt'],['not_found'],['Stadt Krähenstadt'],"['Krähenstadt', 'Stadt']",['Krähenstadt'],"['Die', 'Stadt', 'Krähenstadt', 'hat', 'sich', 'in', 'den', 'letzten', 'Jahren', 'zu', 'einem', 'wichtigen', 'Handels', 'und', 'Technologiezentrum', 'entwickelt']"
"Im Kanton Glücksburg werden jährlich innovative Natur- und Kulturtourismus-Projekte realisiert, die internationale Anerkennung finden.",['Kanton Glücksburg'],['not_found'],['Kanton Glücksburg'],['Kanton Glücksburg'],['Kanton Glücksburg'],"['Im', 'Kanton', 'Glücksburg', 'werden', 'jährlich', 'innovative', 'Natur', 'und', 'KulturtourismusProjekte', 'realisiert', 'die', 'internationale', 'Anerkennung', 'finden']"
Die Gemeinde Hochweiler ist besonders stolz auf ihre modernen Solaranlagen und nachhaltige Stadtentwicklung.,['Gemeinde Hochweiler'],['not_found'],['Gemeinde Hochweiler'],['Hochweiler'],['Gemeinde Hochweiler'],"['Die', 'Gemeinde', 'Hochweiler', 'ist', 'besonders', 'stolz', 'auf', 'ihre', 'modernen', 'Solaranlagen', 'und', 'nachhaltige', 'Stadtentwicklung']"
Die Stadt Mettlingen ist für ihre historischen Denkmäler und die traditionelle Handwerkskunst bekannt.,['Stadt Mettlingen'],['not_found'],['Stadt Mettlingen'],['Mettlingen'],['Mettlingen'],"['Die', 'Stadt', 'Mettlingen', 'ist', 'für', 'ihre', 'historischen', 'Denkmäler', 'und', 'die', 'traditionelle', 'Handwerkskunst', 'bekannt']"
"Der Kanton Sturmheim ist ein beliebtes Ziel für Wanderer und Outdoor-Sportler, mit spektakulären Gipfeln und Tälern.",['Kanton Sturmheim'],['not_found'],['Kanton Sturmheim'],['Kanton Sturmheim'],['Kanton Sturmheim'],"['Der', 'Kanton', 'Sturmheim', 'ist', 'ein', 'beliebtes', 'Ziel', 'für', 'Wanderer', 'und', 'OutdoorSportler', 'mit', 'spektakulären', 'Gipfeln', 'und', 'Tälern']"
Die Gemeinde Alpenruhe fördert den sanften Tourismus und bietet zahlreiche Möglichkeiten für Naturbeobachtungen und Wanderungen.,['Gemeinde Alpenruhe'],['not_found'],['not_found'],['Gemeinde Alpenruhe'],"['Gemeinde', 'Alpenruhe']","['Die', 'Gemeinde', 'Alpenruhe', 'fördert', 'den', 'sanften', 'Tourismus', 'und', 'bietet', 'zahlreiche', 'Möglichkeiten', 'für', 'Naturbeobachtungen', 'und', 'Wanderungen']"
"Die Stadt Hohenstein hat ein großes Angebot an kulturellen Einrichtungen, darunter Museen, Theater und ein Opernhaus.",['Stadt Hohenstein'],['not_found'],['not_found'],"['Opernhaus', 'Stadt Hohenstein']",['Hohenstein'],"['Die', 'Stadt', 'Hohenstein', 'hat', 'ein', 'großes', 'Angebot', 'an', 'kulturellen', 'Einrichtungen', 'darunter', 'Museen', 'Theater', 'und', 'ein', 'Opernhaus']"
"Im Kanton Zellbach wird die Landnutzung nachhaltig gestaltet, um den natürlichen Lebensraum zu bewahren und die Landwirtschaft zu unterstützen.",['Kanton Zellbach'],['not_found'],['Kanton Zellbach'],['Kanton Zellbach'],"['Kanton Zellbach', 'Landwirtschaft']","['Im', 'Kanton', 'Zellbach', 'wird', 'die', 'Landnutzung', 'nachhaltig', 'gestaltet', 'um', 'den', 'natürlichen', 'Lebensraum', 'zu', 'bewahren', 'und', 'die', 'Landwirtschaft', 'zu', 'unterstützen']"
"Die Stadt Mettlingen veranstaltet gemeinsam mit der Gemeinde Tannenheim ein regionales Handwerksfestival. Während Mettlingen für seine traditionellen Holzarbeiten bekannt ist, bringt Tannenheim alpines Kunsthandwerk ein. Besucher schätzen sowohl die Atmosphäre von Mettlingen als auch die Gastfreundschaft in Tannenheim.","['Stadt Mettlingen', 'Gemeinde Tannenheim', 'Stadt Mettlingen', 'Gemeinde Tannenheim']",['not_found'],"['Stadt Mettlingen', 'Tannenheim', 'Mettlingen', 'Gemeinde Tannenheim']","['Tannenheim', 'Mettlingen', 'Tannenheim alpines']","['Mettlingen', 'Tannenheim', 'Mettlingen', 'Tannenheim', 'Mettlingen', 'Tannenheim']","['Die', 'Stadt', 'Mettlingen', 'veranstaltet', 'gemeinsam', 'mit', 'der', 'Gemeinde', 'Tannenheim', 'ein', 'regionales', 'Handwerksfestival', 'Während', 'Mettlingen', 'für', 'seine', 'traditionellen', 'Holzarbeiten', 'bekannt', 'ist', 'bringt', 'Tannenheim', 'alpines', 'Kunsthandwerk', 'ein', 'Besucher', 'schätzen', 'sowohl', 'die', 'Atmosphäre', 'von', 'Mettlingen', 'als', 'auch', 'die', 'Gastfreundschaft', 'in', 'Tannenheim']"
"Im Kanton Zellberg und im benachbarten Kanton Felsenau wurden neue Wanderwege angelegt. Zellberg bietet eher alpine Routen, während Felsenau flachere Strecken durch historische Landschaften bereitstellt. Die Zusammenarbeit zwischen Zellberg und Felsenau gilt als Vorbild.","['Kanton Zellberg', 'Kanton Felsenau', 'Kanton Zellberg', 'Kanton Felsenau']",['not_found'],"['Kanton Zellberg', 'Kanton Felsenau']","['Kanton Zellberg', 'Zellberg', 'Felsenau']","['Kanton Zellberg', 'Kanton Felsenau', 'Zellberg', 'Felsenau', 'Zellberg', 'Felsenau']","['Im', 'Kanton', 'Zellberg', 'und', 'im', 'benachbarten', 'Kanton', 'Felsenau', 'wurden', 'neue', 'Wanderwege', 'angelegt', 'Zellberg', 'bietet', 'eher', 'alpine', 'Routen', 'während', 'Felsenau', 'flachere', 'Strecken', 'durch', 'historische', 'Landschaften', 'bereitstellt', 'Die', 'Zusammenarbeit', 'zwischen', 'Zellberg', 'und', 'Felsenau', 'gilt', 'als', 'Vorbild']"
"Die Stadt Märchental pflegt eine enge Partnerschaft mit der Stadt Eggried im Bereich kultureller Bildung. Märchental schickt regelmäßig Musikgruppen nach Eggried, während Eggried Workshops in Märchental anbietet.","['Stadt Märchental', 'Stadt Eggried', 'Stadt Märchental', 'Stadt Eggried']",['not_found'],"['Stadt Eggried', 'Stadt Märchental']","['Eggried', 'Märchental']","['Märchental', 'Eggried', 'Märchental', 'Eggried', 'Märchental']","['Die', 'Stadt', 'Märchental', 'pflegt', 'eine', 'enge', 'Partnerschaft', 'mit', 'der', 'Stadt', 'Eggried', 'im', 'Bereich', 'kultureller', 'Bildung', 'Märchental', 'schickt', 'regelmäßig', 'Musikgruppen', 'nach', 'Eggried', 'während', 'Eggried', 'Workshops', 'in', 'Märchental', 'anbietet']"
"In der Gemeinde Hochweiler wurde eine neue Solaranlage errichtet, unterstützt vom Kanton Glücksburg. Hochweiler erhält dadurch günstigere Strompreise, und Glücksburg profitiert von den gesammelten Erfahrungswerten. Beide, Hochweiler und Glücksburg, setzen damit ein Zeichen für interkommunale Zusammenarbeit.","['Gemeinde Hochweiler', 'Kanton Glücksburg', 'Gemeinde Hochweiler', 'Kanton Glücksburg']",['not_found'],"['Kanton Glücksburg', 'Gemeinde Hochweiler']","['Kanton Glücksburg', 'Hochweiler', 'Glücksburg']","['Gemeinde', 'Hochweiler', 'Kanton Glücksburg', 'Hochweiler', 'Glücksburg', 'Hochweiler', 'Glücksburg']","['In', 'der', 'Gemeinde', 'Hochweiler', 'wurde', 'eine', 'neue', 'Solaranlage', 'errichtet', 'unterstützt', 'vom', 'Kanton', 'Glücksburg', 'Hochweiler', 'erhält', 'dadurch', 'günstigere', 'Strompreise', 'und', 'Glücksburg', 'profitiert', 'von', 'den', 'gesammelten', 'Erfahrungswerten', 'Beide', 'Hochweiler', 'und', 'Glücksburg', 'setzen', 'damit', 'ein', 'Zeichen', 'für', 'interkommunale', 'Zusammenarbeit']"
"Weidendorf und Windau sind Vorzeigegemeinden für ökologische Landwirtschaft. In Weidendorf werden nachhaltige Permakultur-Kurse angeboten, während Windau für seine innovativen Bewässerungssysteme bekannt ist. Sowohl Weidendorf als auch Windau wurden mehrfach ausgezeichnet.","['Gemeinde Weidendorf', 'Gemeinde Windau', 'Gemeinde Weidendorf', 'Gemeinde Windau']",['not_found'],['Vorzeigegemeinden'],"['Windau', 'Vorzeigegemeinden', 'Weidendorf']","['Weidendorf', 'Windau', 'Weidendorf', 'Windau', 'Weidendorf', 'Windau']","['Weidendorf', 'und', 'Windau', 'sind', 'Vorzeigegemeinden', 'für', 'ökologische', 'Landwirtschaft', 'In', 'Weidendorf', 'werden', 'nachhaltige', 'PermakulturKurse', 'angeboten', 'während', 'Windau', 'für', 'seine', 'innovativen', 'Bewässerungssysteme', 'bekannt', 'ist', 'Sowohl', 'Weidendorf', 'als', 'auch', 'Windau', 'wurden', 'mehrfach', 'ausgezeichnet']"
"Der Kanton Sturmheim arbeitet eng mit der Gemeinde Alpenruhe zusammen, um neue Tourismuskonzepte zu entwickeln. Sturmheim liefert dabei die Infrastruktur, während Alpenruhe auf sanften Naturtourismus setzt. Beide, Sturmheim und Alpenruhe, profitieren von dieser Kooperation.","['Kanton Sturmheim', 'Gemeinde Alpenruhe', 'Kanton Sturmheim', 'Gemeinde Alpenruhe']",['not_found'],['Kanton Sturmheim'],"['Alpenruhe', 'Sturmheim', 'Kanton Sturmheim', 'Gemeinde Alpenruhe']","['Kanton Sturmheim', 'Gemeinde', 'Alpenruhe', 'Sturmheim', 'Alpenruhe', 'Sturmheim', 'Alpenruhe']","['Der', 'Kanton', 'Sturmheim', 'arbeitet', 'eng', 'mit', 'der', 'Gemeinde', 'Alpenruhe', 'zusammen', 'um', 'neue', 'Tourismuskonzepte', 'zu', 'entwickeln', 'Sturmheim', 'liefert', 'dabei', 'die', 'Infrastruktur', 'während', 'Alpenruhe', 'auf', 'sanften', 'Naturtourismus', 'setzt', 'Beide', 'Sturmheim', 'und', 'Alpenruhe', 'profitieren', 'von', 'dieser', 'Kooperation']"
Die Stadt Krähenstadt ist wirtschaftlich stark mit der Stadt Hohenstein verflochten. Viele Unternehmen aus Krähenstadt haben Niederlassungen in Hohenstein eröffnet. Auch kulturell sind Krähenstadt und Hohenstein eng verbunden.,"['Stadt Krähenstadt', 'Stadt Hohenstein', 'Stadt Krähenstadt', 'Stadt Hohenstein']",['not_found'],['Stadt Krähenstadt'],"['Krähenstadt', 'Stadt', 'Hohenstein', 'Stadt Hohenstein']","['Krähe', 'Hohenstein', 'Hohenstein', 'Hohenstein']","['Die', 'Stadt', 'Krähenstadt', 'ist', 'wirtschaftlich', 'stark', 'mit', 'der', 'Stadt', 'Hohenstein', 'verflochten', 'Viele', 'Unternehmen', 'aus', 'Krähenstadt', 'haben', 'Niederlassungen', 'in', 'Hohenstein', 'eröffnet', 'Auch', 'kulturell', 'sind', 'Krähenstadt', 'und', 'Hohenstein', 'eng', 'verbunden']"
"Im Kanton Glücksburg und der Gemeinde Weidendorf wurden Pilotprojekte zur ökologischen Landwirtschaft gestartet. Glücksburg bietet Fördermittel, während Weidendorf mit Schulungen und Flächen beteiligt ist. Beide, Glücksburg und Weidendorf, gelten als Vorbildregionen.","['Kanton Glücksburg', 'Gemeinde Weidendorf', 'Kanton Glücksburg', 'Gemeinde Weidendorf']",['not_found'],"['Gemeinde Weidendorf', 'Kanton Glücksburg']","['Gemeinde Weidendorf', 'Kanton Glücksburg', 'Glücksburg', 'Weidendorf']","['Kanton Glücksburg', 'Gemeinde Weidendorf', 'Glücksburg', 'Weidendorf', 'Glücksburg', 'Weidendorf']","['Im', 'Kanton', 'Glücksburg', 'und', 'der', 'Gemeinde', 'Weidendorf', 'wurden', 'Pilotprojekte', 'zur', 'ökologischen', 'Landwirtschaft', 'gestartet', 'Glücksburg', 'bietet', 'Fördermittel', 'während', 'Weidendorf', 'mit', 'Schulungen', 'und', 'Flächen', 'beteiligt', 'ist', 'Beide', 'Glücksburg', 'und', 'Weidendorf', 'gelten', 'als', 'Vorbildregionen']"
"Die Gemeinde Windau arbeitet mit der Stadt Schneebach an einem innovativen Mobilitätskonzept. Während Windau auf E-Bikes setzt, plant Schneebach ein autonomes Bussystem. Das Projekt Windau–Schneebach erhält nationale Förderung.","['Gemeinde Windau', 'Stadt Schneebach', 'Gemeinde Windau', 'Stadt Schneebach']",['nationale'],"['Gemeinde Windau', 'nationale', 'Stadt Schneebach', 'Schneebach']","['Gemeinde', 'Schneebach', 'Windau']","['Gemeinde', 'Windau', 'Schneebach', 'Windau', 'Windau']","['Die', 'Gemeinde', 'Windau', 'arbeitet', 'mit', 'der', 'Stadt', 'Schneebach', 'an', 'einem', 'innovativen', 'Mobilitätskonzept', 'Während', 'Windau', 'auf', 'EBikes', 'setzt', 'plant', 'Schneebach', 'ein', 'autonomes', 'Bussystem', 'Das', 'Projekt', 'WindauSchneebach', 'erhält', 'nationale', 'Förderung']"
"Die Stadt Eggried organisiert zusammen mit dem Kanton Zellberg ein Kulturwochenende. Eggried bringt Künstler, Zellberg stellt die Kulisse in Form der Berge. Eggried und Zellberg erhoffen sich hohe Besucherzahlen.","['Stadt Eggried', 'Kanton Zellberg', 'Stadt Eggried', 'Kanton Zellberg']",['not_found'],"['Eggried', 'Stadt Eggried']","['Eggried', 'Zellberg', 'Kanton Zellberg']","['Eggried', 'Kanton Zellberg', 'Eggried', 'Zellberg', 'Eggried', 'Zellberg']","['Die', 'Stadt', 'Eggried', 'organisiert', 'zusammen', 'mit', 'dem', 'Kanton', 'Zellberg', 'ein', 'Kulturwochenende', 'Eggried', 'bringt', 'Künstler', 'Zellberg', 'stellt', 'die', 'Kulisse', 'in', 'Form', 'der', 'Berge', 'Eggried', 'und', 'Zellberg', 'erhoffen', 'sich', 'hohe', 'Besucherzahlen']"
"In der Gemeinde Hochweiler wurden neue Bildungsprogramme in Kooperation mit der Stadt Mettlingen eingeführt. Mettlingen betreut die digitale Infrastruktur, während Hochweiler die Inhalte stellt. Beide, Hochweiler und Mettlingen, berichten von positiven Rückmeldungen.","['Gemeinde Hochweiler', 'Stadt Mettlingen', 'Gemeinde Hochweiler', 'Stadt Mettlingen']",['not_found'],"['Stadt Mettlingen', 'Mettlingen']","['Hochweiler', 'Mettlingen']","['Gemeinde Hochweiler', 'Mettlingen', 'Mettlingen', 'Hochweiler', 'Hochweiler', 'Mettlingen']","['In', 'der', 'Gemeinde', 'Hochweiler', 'wurden', 'neue', 'Bildungsprogramme', 'in', 'Kooperation', 'mit', 'der', 'Stadt', 'Mettlingen', 'eingeführt', 'Mettlingen', 'betreut', 'die', 'digitale', 'Infrastruktur', 'während', 'Hochweiler', 'die', 'Inhalte', 'stellt', 'Beide', 'Hochweiler', 'und', 'Mettlingen', 'berichten', 'von', 'positiven', 'Rückmeldungen']"
"Die Gemeinde Auenbach und der Kanton Felsenau betreiben gemeinsam eine Landwirtschaftsinitiative. Auenbach stellt Flächen zur Verfügung, Felsenau übernimmt die Vermarktung. Auenbach und Felsenau wollen damit regionale Wertschöpfung fördern.","['Gemeinde Auenbach', 'Kanton Felsenau', 'Gemeinde Auenbach', 'Kanton Felsenau']",['not_found'],"['Kanton Felsenau', 'Gemeinde Auenbach']","['Auenbach', 'Felsenau']","['Gemeinde', 'Auenbach', 'Kanton Felsenau', 'Auenbach', 'Felsenau', 'Auenbach', 'Felsenau']","['Die', 'Gemeinde', 'Auenbach', 'und', 'der', 'Kanton', 'Felsenau', 'betreiben', 'gemeinsam', 'eine', 'Landwirtschaftsinitiative', 'Auenbach', 'stellt', 'Flächen', 'zur', 'Verfügung', 'Felsenau', 'übernimmt', 'die', 'Vermarktung', 'Auenbach', 'und', 'Felsenau', 'wollen', 'damit', 'regionale', 'Wertschöpfung', 'fördern']"
"Der Kanton Zelwingen und die Gemeinde Tannenheim bündeln ihre Ressourcen für ein neues Seilbahnprojekt. Tannenheim stellt das Gelände, Zelwingen finanziert den Bau. Das Projekt Tannenheim–Zelwingen gilt als Leuchtturm.","['Kanton Zelwingen', 'Gemeinde Tannenheim', 'Gemeinde Tannenheim', 'Kanton Zelwingen']",['not_found'],"['Kanton Zelwingen', 'Tannenheim', 'Gemeinde Tannenheim']","['Kanton Zelwingen', 'Zelwingen', 'Tannenheim']","['Kanton Zelwingen', 'Gemeinde', 'Tannenheim', 'Tannenheim', 'Zelwingen']","['Der', 'Kanton', 'Zelwingen', 'und', 'die', 'Gemeinde', 'Tannenheim', 'bündeln', 'ihre', 'Ressourcen', 'für', 'ein', 'neues', 'Seilbahnprojekt', 'Tannenheim', 'stellt', 'das', 'Gelände', 'Zelwingen', 'finanziert', 'den', 'Bau', 'Das', 'Projekt', 'TannenheimZelwingen', 'gilt', 'als', 'Leuchtturm']"
"Die Stadt Märchental lädt gemeinsam mit der Gemeinde Weidendorf zu einem Nachhaltigkeitsforum. Märchental bringt kulturelle Beiträge, Weidendorf Fachvorträge. Beide Orte – Märchental und Weidendorf – stehen für verantwortungsvolles Handeln.","['Stadt Märchental', 'Gemeinde Weidendorf', 'Stadt Märchental', 'Gemeinde Weidendorf']",['not_found'],"['Gemeinde Weidendorf', 'Stadt Märchental']","['Gemeinde Weidendorf', 'Märchental', 'Weidendorf']","['Märchental', 'Gemeinde Weidendorf', 'Märchental', 'Weidendorf', 'Märchental', 'Weidendorf']","['Die', 'Stadt', 'Märchental', 'lädt', 'gemeinsam', 'mit', 'der', 'Gemeinde', 'Weidendorf', 'zu', 'einem', 'Nachhaltigkeitsforum', 'Märchental', 'bringt', 'kulturelle', 'Beiträge', 'Weidendorf', 'Fachvorträge', 'Beide', 'Orte', 'Märchental', 'und', 'Weidendorf', 'stehen', 'für', 'verantwortungsvolles', 'Handeln']"
"Im Kanton Zellbach wird ein Gesundheitszentrum mit Unterstützung der Stadt Fichtenwald errichtet. Fichtenwald liefert medizinisches Know-how, Zellbach die Flächen und Verwaltung. Das Modell Zellbach–Fichtenwald soll auch in anderen Regionen Schule machen.","['Kanton Zellbach', 'Stadt Fichtenwald', 'Kanton Zellbach', 'Stadt Fichtenwald']",['not_found'],"['Kanton Zellbach', 'Stadt Fichtenwald']","['Zellbach', 'Kanton Zellbach', 'Stadt Fichtenwald', 'Fichtenwald']","['Kanton Zellbach', 'Fichtenwald', 'Fichtenwald', 'Zellbach']","['Im', 'Kanton', 'Zellbach', 'wird', 'ein', 'Gesundheitszentrum', 'mit', 'Unterstützung', 'der', 'Stadt', 'Fichtenwald', 'errichtet', 'Fichtenwald', 'liefert', 'medizinisches', 'Knowhow', 'Zellbach', 'die', 'Flächen', 'und', 'Verwaltung', 'Das', 'Modell', 'ZellbachFichtenwald', 'soll', 'auch', 'in', 'anderen', 'Regionen', 'Schule', 'machen']"
"Die Stadt Hohenstein und der Kanton Sturmheim veranstalten ein Musikfestival in den Bergen. Hohenstein organisiert die Künstler, Sturmheim sorgt für Infrastruktur. Die Kooperation zwischen Hohenstein und Sturmheim gilt als beispielhaft.","['Stadt Hohenstein', 'Kanton Sturmheim', 'Stadt Hohenstein', 'Kanton Sturmheim']",['not_found'],['not_found'],"['Sturmheim', 'Bergen', 'Stadt Hohenstein', 'Hohenstein', 'Kanton Sturmheim']","['Hohenstein', 'Kanton Sturmheim', 'Bergen', 'Hohenstein', 'Sturmheim', 'Hohenstein', 'Sturmheim']","['Die', 'Stadt', 'Hohenstein', 'und', 'der', 'Kanton', 'Sturmheim', 'veranstalten', 'ein', 'Musikfestival', 'in', 'den', 'Bergen', 'Hohenstein', 'organisiert', 'die', 'Künstler', 'Sturmheim', 'sorgt', 'für', 'Infrastruktur', 'Die', 'Kooperation', 'zwischen', 'Hohenstein', 'und', 'Sturmheim', 'gilt', 'als', 'beispielhaft']"
"Die Gemeinde Alpenruhe setzt gemeinsam mit der Stadt Krähenstadt ein Projekt für regionale Ernährung um. Alpenruhe liefert Bioprodukte, Krähenstadt übernimmt Logistik. Beide – Alpenruhe und Krähenstadt – wollen damit CO₂ reduzieren.","['Gemeinde Alpenruhe', 'Stadt Krähenstadt', 'Gemeinde Alpenruhe', 'Stadt Krähenstadt']",['not_found'],['not_found'],"['Krähenstadt', 'Stadt', 'Gemeinde Alpenruhe']","['Alpenruhe', 'Krähenstadt', 'Alpenruhe', 'Krähenstadt', 'Alpenruhe', 'Krähenstadt']","['Die', 'Gemeinde', 'Alpenruhe', 'setzt', 'gemeinsam', 'mit', 'der', 'Stadt', 'Krähenstadt', 'ein', 'Projekt', 'für', 'regionale', 'Ernährung', 'um', 'Alpenruhe', 'liefert', 'Bioprodukte', 'Krähenstadt', 'übernimmt', 'Logistik', 'Beide', 'Alpenruhe', 'und', 'Krähenstadt', 'wollen', 'damit', 'CO₂', 'reduzieren']"
"In der Gemeinde Eggried und im Kanton Zellberg entstehen neue Bildungsangebote für Nachhaltigkeit. Windau entwickelt Workshops, Zellberg trägt mit Materialien bei. Das gemeinsame Programm Windau–Zellberg stößt auf großes Interesse.","['Gemeinde Windau', 'Kanton Zellberg', 'Gemeinde Windau', 'Kanton Zellberg']",['not_found'],"['Kanton Zellberg', 'Gemeinde Eggried']","['Eggried', 'Kanton Zellberg']","['Gemeinde', 'Eggried', 'Kanton Zellberg', 'Windau', 'Zellberg', 'Windau', 'Zellberg']","['In', 'der', 'Gemeinde', 'Eggried', 'und', 'im', 'Kanton', 'Zellberg', 'entstehen', 'neue', 'Bildungsangebote', 'für', 'Nachhaltigkeit', 'Windau', 'entwickelt', 'Workshops', 'Zellberg', 'trägt', 'mit', 'Materialien', 'bei', 'Das', 'gemeinsame', 'Programm', 'WindauZellberg', 'stößt', 'auf', 'großes', 'Interesse']"
