text,correct_location
"Die Stadt Hohenstein und der Kanton Sturmheim veranstalten ein Musikfestival in den Bergen. Hohenstein organisiert die Künstler, Sturmheim sorgt für Infrastruktur. Die Kooperation zwischen Hohenstein und Sturmheim gilt als beispielhaft.","Stadt Hohenstein, Kanton Sturmheim, Stadt Hohenstein, Kanton Sturmheim"
"Die Gemeinde Alpenruhe setzt gemeinsam mit der Stadt Krähenstadt ein Projekt für regionale Ernährung um. Alpenruhe liefert Bioprodukte, Krähenstadt übernimmt Logistik. Beide – Alpenruhe und Krähenstadt – wollen damit CO₂ reduzieren.","Gemeinde Alpenruhe, Stadt Krähenstadt, Gemeinde Alpenruhe, Stadt Krähenstadt"
"In der Gemeinde Eggried und im Kanton Zellberg entstehen neue Bildungsangebote für Nachhaltigkeit. Windau entwickelt Workshops, Zellberg trägt mit Materialien bei. Das gemeinsame Programm Windau–Zellberg stößt auf großes Interesse.","Gemeinde Windau, Kanton Zellberg, Gemeinde Windau, Kanton Zellberg"
"Die Gemeinde Auenbach und die Stadt Eggried starten ein Austauschprogramm für Jugendliche. Auenbach organisiert die Unterkünfte, Eggried die Freizeitaktivitäten. Das Programm soll Auenbach und Eggried langfristig verbinden.","Gemeinde Auenbach, Stadt Eggried, Gemeinde Auenbach, Stadt Eggried"
"Der Kanton Felsenau arbeitet mit der Stadt Schneebach an einem grenzüberschreitenden Naturprojekt. Felsenau stellt Schutzflächen, Schneebach entwickelt Besucherkonzepte. Felsenau und Schneebach wollen damit nachhaltigen Tourismus fördern.","Kanton Felsenau, Stadt Schneebach, Kanton Felsenau, Stadt Schneebach"
"Die Gemeinde Tannenheim kooperiert mit der Stadt Märchental bei einem kulturellen Bildungsprojekt. Tannenheim stellt Räume bereit, Märchental entsendet Dozierende. Tannenheim und Märchental setzen neue Maßstäbe in der Bildung.","Gemeinde Tannenheim, Stadt Märchental, Gemeinde Tannenheim, Stadt Märchental"
"Die Stadt Mettlingen organisiert gemeinsam mit dem Kanton Glücksburg eine Veranstaltungsreihe zu Klimaschutz. Mettlingen zeigt Best-Practice-Beispiele, Glücksburg finanziert Experten. Beide – Mettlingen und Glücksburg – möchten Bürger zum Mitmachen animieren.","Stadt Mettlingen, Kanton Glücksburg, Stadt Mettlingen, Kanton Glücksburg"
"Im Kanton Zellberg und in der Gemeinde Hochweiler wurde eine gemeinsame Bibliothek eröffnet. Zellberg stellte das Gebäude, Hochweiler das Personal. Die Einrichtung soll Zellberg und Hochweiler kulturell verbinden.","Kanton Zellberg, Gemeinde Hochweiler, Kanton Zellberg, Gemeinde Hochweiler"
"Die Stadt Fichtenwald kooperiert mit der Gemeinde Windau bei einem Projekt zur Artenvielfalt. Fichtenwald kartiert, Windau analysiert die Daten. Fichtenwald und Windau möchten so bedrohte Arten schützen.","Stadt Fichtenwald, Gemeinde Windau, Stadt Fichtenwald, Gemeinde Windau"
"Der Kanton Zelwingen und die Stadt Krähenstadt wollen gemeinsam ein Innovationszentrum eröffnen. Zelwingen plant das Gebäude, Krähenstadt stellt das Personal. Beide – Zelwingen und Krähenstadt – wollen damit junge Unternehmen fördern.","Kanton Zelwingen, Stadt Krähenstadt, Kanton Zelwingen, Stadt Krähenstadt"
"Die Stadt Eggried und der Kanton Sturmheim entwickeln ein gemeinsames Bildungszentrum für Umweltfragen. Eggried stellt die didaktischen Konzepte, während Sturmheim das Grundstück bereitstellt. Das Projekt soll Eggried und Sturmheim überregional bekannt machen.","Stadt Eggried, Kanton Sturmheim, Stadt Eggried, Kanton Sturmheim"
"Die Gemeinde Tannenheim arbeitet mit dem Kanton Glücksburg an einem regionalen Energiekonzept. Tannenheim liefert lokale Daten, Glücksburg stellt überregionale Fördermittel zur Verfügung. Tannenheim und Glücksburg setzen damit Maßstäbe im Bereich Energieeffizienz.","Gemeinde Tannenheim, Kanton Glücksburg, Gemeinde Tannenheim, Kanton Glücksburg"
"Im Kanton Felsenau entsteht in Zusammenarbeit mit der Stadt Märchental ein neues Freilichtmuseum. Felsenau bietet das Gelände, Märchental organisiert Ausstellungen. Das Projekt Felsenau–Märchental soll Kultur und Natur verbinden.","Kanton Felsenau, Stadt Märchental, Kanton Felsenau, Stadt Märchental"
"Die Gemeinde Hochweiler und die Stadt Mettlingen starten eine Initiative für digitale Bildung. Hochweiler testet neue Lernformate, Mettlingen entwickelt die Plattform. Beide Orte wollen mit dem Projekt Hochweiler–Mettlingen die digitale Kluft verringern.","Gemeinde Hochweiler, Stadt Mettlingen, Gemeinde Hochweiler, Stadt Mettlingen"
"Die Stadt Schneebach plant mit dem Kanton Zellberg ein neues Wintersportzentrum. Schneebach übernimmt die touristische Vermarktung, Zellberg stellt den Baugrund. Schneebach und Zellberg setzen gemeinsam auf nachhaltigen Wintersport.","Stadt Schneebach, Kanton Zellberg, Stadt Schneebach, Kanton Zellberg"
"Die Gemeinde Auenbach initiiert mit der Stadt Krähenstadt ein Programm zur Lebensmittelrettung. Auenbach betreut lokale Betriebe, Krähenstadt organisiert Verteilung und Öffentlichkeitsarbeit. Auenbach und Krähenstadt wollen damit Ressourcen effizienter nutzen.","Gemeinde Auenbach, Stadt Krähenstadt, Gemeinde Auenbach, Stadt Krähenstadt"
"Im Kanton Zellbach wird gemeinsam mit der Gemeinde Weidendorf ein regionales Saatgutarchiv aufgebaut. Zellbach übernimmt wissenschaftliche Begleitung, Weidendorf sammelt traditionelle Sorten. Zellbach und Weidendorf sichern so wertvolles Erbgut für die Zukunft.","Kanton Zellbach, Gemeinde Weidendorf, Kanton Zellbach, Gemeinde Weidendorf"
"Die Stadt Hohenstein kooperiert mit der Gemeinde Windau bei der Einrichtung eines Mobilitätsknotenpunkts. Hohenstein plant die Infrastruktur, Windau erprobt neue Sharingmodelle. Hohenstein und Windau wollen gemeinsam den Nahverkehr verbessern.","Stadt Hohenstein, Gemeinde Windau, Stadt Hohenstein, Gemeinde Windau"
"Die Stadt Fichtenwald und der Kanton Zellberg organisieren zusammen eine Messe für nachhaltige Technologien. Fichtenwald lädt Unternehmen ein, Zellberg bietet Förderprogramme an. Die Innovationsmesse von Fichtenwald und Zellberg zieht viele Besucher an.","Stadt Fichtenwald, Kanton Zellberg, Stadt Fichtenwald, Kanton Zellberg"
"Die Gemeinde Alpenruhe plant gemeinsam mit dem Kanton Zelwingen ein Schutzprogramm für Bergwiesen. Alpenruhe stellt Monitoringdaten bereit, Zelwingen organisiert Schulungen. Das Programm Alpenruhe–Zelwingen wird national gefördert.","Gemeinde Alpenruhe, Kanton Zelwingen, Gemeinde Alpenruhe, Kanton Zelwingen"
"Die Stadt Eggried und die Stadt Märchental führen gemeinsam ein Pilotprojekt für urbane Gärten durch. Eggried stellt Flächen bereit, Märchental organisiert Workshops. Eggried und Märchental schaffen so neue Begegnungsräume.","Stadt Eggried, Stadt Märchental, Stadt Eggried, Stadt Märchental"
"Die Gemeinde Tannenheim arbeitet mit der Gemeinde Hochweiler an einem Projekt zur Biodiversität. Tannenheim beobachtet Wildtiere, Hochweiler pflegt Biotope. Die Zusammenarbeit zwischen Tannenheim und Hochweiler stärkt das lokale Ökosystem.","Gemeinde Tannenheim, Gemeinde Hochweiler, Gemeinde Tannenheim, Gemeinde Hochweiler"
"Der Kanton Glücksburg und die Stadt Mettlingen planen gemeinsam ein Bürgerbeteiligungsportal. Glücksburg entwickelt die Plattform, Mettlingen organisiert Workshops zur Einführung. Das Projekt Glücksburg–Mettlingen gilt als wegweisend.","Kanton Glücksburg, Stadt Mettlingen, Kanton Glücksburg, Stadt Mettlingen"
"Die Stadt Krähenstadt und Sonnikon veranstalten eine Nachhaltigkeitswoche. Krähenstadt bietet Vorträge, Weidendorf organisiert lokale Führungen. Die Nachhaltigkeitswoche in Krähenstadt und Weidendorf findet großen Anklang.","Stadt Krähenstadt, Gemeinde Weidendorf, Stadt Krähenstadt, Gemeinde Weidendorf"
"Der Kanton Felsenau und die Gemeinde Eggried bauen zusammen ein Besucherzentrum zum Thema Klimawandel. Felsenau übernimmt Bau und Finanzierung, Windau gestaltet die Inhalte. Felsenau und Windau setzen damit ein Zeichen für Umweltbildung.","Kanton Felsenau, Gemeinde Windau, Kanton Felsenau, Gemeinde Windau"
"Die Stadt Märchental plant zusammen mit der Stadt Schneebach ein Filmfestival in den Alpen. Märchental kuratiert das Programm, Schneebach stellt Kinosäle zur Verfügung. Das Festival von Märchental und Schneebach soll jährlich stattfinden.","Stadt Märchental, Stadt Schneebach, Stadt Märchental, Stadt Schneebach"
"Die Gemeinde Auenbach kooperiert mit dem Kanton Sturmheim für ein Projekt zum Wassermanagement. Auenbach liefert Daten, Sturmheim entwickelt Modelle. Das System Auenbach–Sturmheim wird als Pilotprojekt getestet.","Gemeinde Auenbach, Kanton Sturmheim, Gemeinde Auenbach, Kanton Sturmheim"
"Die Stadt Hohenstein und der Kanton Zelwingen arbeiten an einem Gemeinschaftsprojekt für Denkmalschutz. Hohenstein betreut historische Objekte, Zelwingen sorgt für Fachkräfte. Hohenstein und Zelwingen sichern gemeinsam kulturelles Erbe.","Stadt Hohenstein, Kanton Zelwingen, Stadt Hohenstein, Kanton Zelwingen"
"Die Stadt Fichtenwald und die Stadt Eggried starten ein Austauschprogramm für Schulen. Fichtenwald organisiert Unterkünfte, Eggried stellt Lehrmaterialien. Fichtenwald und Eggried stärken dadurch ihre Bildungslandschaft.","Stadt Fichtenwald, Stadt Eggried, Stadt Fichtenwald, Stadt Eggried"
"Die Gemeinde Tannenheim kooperiert mit der Gemeinde Alpenruhe im Bereich regionaler Vermarktung. Tannenheim konzentriert sich auf Milchprodukte, Alpenruhe auf Kräuter. Tannenheim und Alpenruhe erschließen gemeinsam neue Märkte.","Gemeinde Tannenheim, Gemeinde Alpenruhe, Gemeinde Tannenheim, Gemeinde Alpenruhe"
"Die Stadt Krähenstadt und die Kanton Zellbach arbeiten gemeinsam an einem innovativen Regionalprojekt. Stadt Krähenstadt bringt Erfahrung in der Umsetzung mit, während Kanton Zellbach über exzellente Infrastruktur verfügt. Sowohl Stadt Krähenstadt als auch Kanton Zellbach profitieren von dieser Zusammenarbeit.","Stadt Krähenstadt, Kanton Zellbach, Stadt Krähenstadt, Kanton Zellbach, Stadt Krähenstadt, Kanton Zellbach"
"Diese Studie aus der Mettlingen in Kooperation mit der Kanton Zellbach analysiert die Biodiversität in Schutzgebieten und deren langfristige Überwachung. Die Studie liefert wertvolle Erkenntnisse für Entscheidungsträger.","Stadt Mettlingen, Kanton Zellbach"
"Der Bericht, herausgegeben von der Gemeinde Alpenruhe, mit Unterstützung der Stadt Krähenstadt, behandelt die Integration erneuerbarer Energien in ländlichen Gemeinden. Die Studie liefert wertvolle Erkenntnisse für Entscheidungsträger.","Gemeinde Alpenruhe, Stadt Krähenstadt"
"Zwischen der Kanton Sturmheim und der Gemeinde Weidendorf entstand eine Erhebung über die Erhaltung regionaler Kulturgüter und historischer Bauten. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Kanton Sturmheim, Gemeinde Weidendorf"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Fichtenwald und der Gemeinde Auenbach wurde untersucht die Auswirkungen des Klimawandels auf landwirtschaftlich genutzte Flächen. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Stadt Fichtenwald, Gemeinde Auenbach"
"Zwischen der Kanton Zellberg und der Stadt Schneebach entstand eine Erhebung über die Entwicklung nachhaltiger Verkehrskonzepte in alpinen Regionen. Die Erhebung wurde methodisch breit angelegt und interdisziplinär ausgewertet.","Kanton Zellberg, Stadt Schneebach"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Tannenheim und der Kanton Glücksburg wurde untersucht die Entwicklung nachhaltiger Verkehrskonzepte in alpinen Regionen. Die Ergebnisse bieten wichtige Grundlagen für die regionale Planung.","Gemeinde Tannenheim, Kanton Glücksburg"
"Die Stadt Märchental veröffentlichte in Zusammenarbeit mit der Gemeinde Hochweiler eine umfassende Analyse zu die Umsetzung von Smart-City-Initiativen im ländlichen Raum. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Stadt Märchental, Gemeinde Hochweiler"
"Diese Studie aus der Stadt Eggried in Kooperation mit der Kanton Felsenau analysiert die sozioökonomische Entwicklung strukturschwacher Regionen. Die Erhebung wurde methodisch breit angelegt und interdisziplinär ausgewertet.","Stadt Eggried, Kanton Felsenau"
"Der Bericht, herausgegeben von der Gemeinde Windau, mit Unterstützung der Kanton Zelwingen, behandelt das Verhalten von Touristen in sensiblen Naturzonen. Die Analyse zeigt erhebliche regionale Unterschiede und Handlungsbedarf.","Gemeinde Windau, Kanton Zelwingen"
"Zwischen der Gemeinde Auenbach und der Stadt Hohenstein entstand eine Erhebung über die Digitalisierung kommunaler Verwaltungsprozesse. Die Studie liefert wertvolle Erkenntnisse für Entscheidungsträger.","Gemeinde Auenbach, Stadt Hohenstein"
"Der Bericht, herausgegeben von der Stadt Schneebach, mit Unterstützung der Kanton Zellbach, behandelt die Umsetzung von Smart-City-Initiativen im ländlichen Raum. Die Analyse zeigt erhebliche regionale Unterschiede und Handlungsbedarf.","Stadt Schneebach, Kanton Zellbach"
"Zwischen der Gemeinde Weidendorf und der Gemeinde Alpenruhe entstand eine Erhebung über die Entwicklung von Frühwarnsystemen für Naturgefahren. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Gemeinde Weidendorf, Gemeinde Alpenruhe"
"Diese Studie aus der Stadt Krähenstadt in Kooperation mit der Kanton Zellberg analysiert die Auswirkungen des Klimawandels auf landwirtschaftlich genutzte Flächen. Die Studie liefert wertvolle Erkenntnisse für Entscheidungsträger.","Stadt Krähenstadt, Kanton Zellberg"
"Zwischen der Stadt Mettlingen und der Gemeinde Tannenheim entstand eine Erhebung über die Integration erneuerbarer Energien in ländlichen Gemeinden. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Stadt Mettlingen, Gemeinde Tannenheim"
"Diese Studie aus der Kanton Felsenau in Kooperation mit der Gemeinde Hochweiler analysiert die sozioökonomische Entwicklung strukturschwacher Regionen. Die Ergebnisse bieten wichtige Grundlagen für die regionale Planung.","Kanton Felsenau, Gemeinde Hochweiler"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Gemeinde Windau und der Stadt Fichtenwald wurde untersucht die Umsetzung von Smart-City-Initiativen im ländlichen Raum. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Gemeinde Windau, Stadt Fichtenwald"
"Der Bericht, herausgegeben von der Stadt Eggried, mit Unterstützung der Kanton Glücksburg, behandelt die Erhaltung regionaler Kulturgüter und historischer Bauten. Die Erhebung wurde methodisch breit angelegt und interdisziplinär ausgewertet.","Stadt Eggried, Kanton Glücksburg"
"Der Bericht, herausgegeben von der Gemeinde Auenbach, mit Unterstützung der Stadt Märchental, behandelt die Integration erneuerbarer Energien in ländlichen Gemeinden. Die Erhebung wurde methodisch breit angelegt und interdisziplinär ausgewertet.","Gemeinde Auenbach, Stadt Märchental"
"Diese Studie aus der Kanton Zelwingen in Kooperation mit der Stadt Schneebach analysiert die Auswirkungen des Klimawandels auf landwirtschaftlich genutzte Flächen. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Kanton Zelwingen, Stadt Schneebach"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Hohenstein und der Gemeinde Tannenheim wurde untersucht die Umsetzung von Smart-City-Initiativen im ländlichen Raum. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Stadt Hohenstein, Gemeinde Tannenheim"
"Die Stadt Märchental veröffentlichte in Zusammenarbeit mit der Gemeinde Windau eine umfassende Analyse zu die Entwicklung von Frühwarnsystemen für Naturgefahren. Die Studie liefert wertvolle Erkenntnisse für Entscheidungsträger.","Stadt Märchental, Gemeinde Windau"
"Zwischen der Gemeinde Alpenruhe und der Kanton Sturmheim entstand eine Erhebung über die Erhaltung regionaler Kulturgüter und historischer Bauten. Die Erhebung wurde methodisch breit angelegt und interdisziplinär ausgewertet.","Gemeinde Alpenruhe, Kanton Sturmheim"
"Diese Studie aus der Kanton Zellbach in Kooperation mit der Stadt Eggried analysiert die Integration erneuerbarer Energien in ländlichen Gemeinden. Die Ergebnisse fließen in zukünftige Entwicklungsstrategien ein.","Kanton Zellbach, Stadt Eggried"
"Die Gemeinde Hochweiler veröffentlichte in Zusammenarbeit mit der Kanton Zelwingen eine umfassende Analyse zu die Erhaltung regionaler Kulturgüter und historischer Bauten. Die Analyse zeigt erhebliche regionale Unterschiede und Handlungsbedarf.","Gemeinde Hochweiler, Kanton Zelwingen"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Stadt Krähenstadt und der Gemeinde Weidendorf wurde untersucht die Digitalisierung kommunaler Verwaltungsprozesse. Die Analyse zeigt erhebliche regionale Unterschiede und Handlungsbedarf.","Stadt Krähenstadt, Gemeinde Weidendorf"
"Zwischen der Stadt Eggried und der Kanton Zellberg entstand eine Erhebung über die Entwicklung semantischer Suchsysteme für Metadatenportale. Die verwendeten Methoden lassen sich auf andere Regionen übertragen.","Stadt Eggried, Kanton Zellberg"
"Diese Studie aus der Gemeinde Weidendorf in Kooperation mit der Stadt Mettlingen analysiert die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die Zusammenarbeit stärkt den Aufbau offener Dateninfrastrukturen.","Gemeinde Weidendorf, Stadt Mettlingen"
"Diese Studie aus dem Kanton Glücksburg in Kooperation mit der Stadt Krähenstadt analysiert die interoperable Vernetzung von Geodaten zwischen Behörden. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Kanton Glücksburg, Stadt Krähenstadt"
"Der Bericht, herausgegeben von der Gemeinde Tannenheim, mit Unterstützung der Stadt Märchental, behandelt die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Gemeinde Tannenheim, Stadt Märchental"
"Im Rahmen eines regionalen Forschungsprojekts zwischen der Kanton Sturmheim und der Gemeinde Hochweiler wurde untersucht die Entwicklung semantischer Suchsysteme für Metadatenportale. Die verwendeten Methoden lassen sich auf andere Regionen übertragen.","Kanton Sturmheim, Gemeinde Hochweiler"
"Diese Studie aus der Stadt Schneebach in Kooperation mit der Kanton Zellbach analysiert die Umsetzung von Open-Data-Richtlinien in kommunalen Verwaltungen. Die gewonnenen Daten werden in zukünftige Raumkonzepte integriert.","Stadt Schneebach, Kanton Zellbach"
"Zwischen der Stadt Fichtenwald und der Gemeinde Auenbach entstand eine Erhebung über die Analyse von Verkehrsflüssen mittels Mobilfunkdaten. Das Vorhaben leistet einen Beitrag zur digitalen Transformation im öffentlichen Sektor.","Stadt Fichtenwald, Gemeinde Auenbach"
"Zwischen der Kanton Felsenau und der Gemeinde Alpenruhe entstand eine Erhebung über die Umsetzung von Open-Data-Richtlinien in kommunalen Verwaltungen. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Kanton Felsenau, Gemeinde Alpenruhe"
"Die Stadt Hohenstein veröffentlichte in Zusammenarbeit mit der Gemeinde Windau eine umfassende Analyse zu die Analyse von Verkehrsflüssen mittels Mobilfunkdaten. Die Zusammenarbeit stärkt den Aufbau offener Dateninfrastrukturen.","Stadt Hohenstein, Gemeinde Windau"
"Diese Studie aus der Gemeinde Auenbach in Kooperation mit der Kanton Glücksburg analysiert die Analyse historischer Wetterdaten zur Klimafolgenabschätzung. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Gemeinde Auenbach, Kanton Glücksburg"
"Zwischen der Stadt Eggried und Tannenheim entstand eine Erhebung über die Umsetzung von Open-Data-Richtlinien in kommunalen Verwaltungen. Die Analyse wurde unter Einhaltung nationaler Datenstandards durchgeführt.","Stadt Eggried, Gemeinde Tannenheim"
